age	sex	edu	s4	s5	c1	c2_1	c2_2	c3	c4	c5	c5_O_T_H	c6_1	c6_2	c6_3	c6_4	c6_5	c6_6	m1_1	m1_2	m1_3	m1_4	m1_5	m1_6	m1_7	m1_8	s6	agecat	educat
39	1	2	11	3	1	2	2	2	2	2	sys_empty	1	1	1	2	2	1	5	5	5	4	3	3	3	2	666	2	1
22	1	3	6	2	2	3	2	1	2	666	6 mìsícù	1	1	1	1	2	1	9	8	8	9	1	6	3	7	4	1	3
37	1	4	12	6	1	2	2	2	2	2	sys_empty	1	1	1	1	2	2	7	7	7	8	4	3	2	2	666	2	4
27	1	2	11	1	1	1	2	2	1	666	1den	1	1	1	1	1	1	10	10	10	10	7	7	7	7	666	1	1
33	2	3	2	5	2	2	2	1	1	666	1/2 roku	1	1	1	2	1	1	10	10	8	9	5	7	5	5	666	2	3
46	2	3	2	4	2	1	1	1	1	666	nevím  doba je nejistá	1	1	1	2	2	2	8	8	7	7	2	7	2	4	666	3	3
17	1	1	9	2	1	3	3	2	1	2	sys_empty	2	1	1	1	1	1	7	5	4	7	5	5	5	6	1	1	1
20	1	3	13	4	1	3	3	2	1	2	sys_empty	1	2	1	1	2	2	8	6	4	9	5	8	8	8	1	1	3
30	2	4	1	6	2	1	2	2	1	666	2-3 mìsíce	1	1	1	2	2	1	9	9	9	8	6	8	5	7	666	2	4
46	2	4	13	5	1	1	1	1	1	666	podle nabídek	1	1	1	1	1	1	5	5	5	5	5	5	5	5	666	3	4
27	2	4	2	1	1	2	2	2	2	666	záleí na situaci	1	1	1	2	1	1	10	10	10	9	3	8	3	5	666	1	4
38	1	2	5	5	1	1	3	1	1	666	dlouho	1	1	1	1	2	2	5	5	5	6	3	10	9	9	666	2	1
45	1	2	11	3	1	1	1	1	2	2	sys_empty	1	1	1	2	1	2	9	9	8	8	3	6	3	2	3	3	1
42	1	3	14	2	1	2	2	1	1	666	mìsíc	1	1	1	1	1	2	7	7	8	8	7	6	4	3	4	2	3
41	1	3	9	4	1	2	1	2	1	666	12 mìsícù	1	1	1	2	1	2	8	6	8	7	5	6	5	3	666	2	3
56	1	2	8	5	1	2	3	1	1	666	3 mìsíce	2	1	1	1	2	1	5	4	5	5	3	3	7	6	666	3	1
40	1	2	2	3	1	1	1	2	1	666	6 mìsícù	1	1	2	2	2	1	8	8	8	8	8	9	3	3	666	2	1
25	2	4	14	6	2	1	1	2	1	666	4 mìsíce	2	1	1	2	2	1	7	6	6	9	6	8	5	3	666	1	4
27	2	3	12	6	1	3	3	1	1	666	pùl roku	1	1	1	2	2	1	9	9	3	8	2	10	8	8	5	1	3
36	1	3	14	6	2	1	3	2	1	666	Netuším	1	1	1	2	2	1	10	10	10	10	5	8	2	8	666	2	3
17	2	1	7	5	2	3	3	2	1	2	sys_empty	1	1	1	1	2	2	8	7	7	7	4	7	6	5	1	1	1
23	2	3	1	6	1	2	2	2	1	666	pøiblinì mìsíc	1	1	1	2	1	1	9	9	3	5	4	9	3	6	1	1	3
29	1	2	9	5	1	3	3	1	2	2	sys_empty	1	1	1	1	1	1	10	10	10	10	4	7	4	4	666	1	1
29	1	2	6	4	2	2	1	1	2	666	3 mìsícù	1	1	1	2	1	1	4	4	5	3	5	7	6	6	666	1	1
22	2	3	3	1	2	3	3	1	2	2	sys_empty	1	1	1	2	1	1	9	9	7	8	6	6	6	5	1	1	3
25	2	2	13	4	1	3	3	1	1	666	Poslední dobou jsem nezamìstnaná a nedaøí se mi práci dlouhodobì najít	1	1	1	2	1	1	6	3	3	7	10	10	9	9	4	1	1
43	1	2	14	6	1	1	1	2	1	666	ASI V MÉM VÌKU A 12MÌSICU	1	1	1	1	1	1	4	3	6	5	3	4	3	9	666	2	1
21	1	3	11	1	2	3	3	2	2	2	sys_empty	1	1	1	1	1	1	4	3	3	6	5	7	3	9	1	1	3
45	2	1	6	5	1	2	2	2	1	666	moná tak dva nebo tøi mìsíce	1	1	1	2	1	1	7	7	7	8	5	5	5	8	666	3	1
53	1	4	9	4	1	2	2	2	2	666	2 mìsíce	1	2	1	2	2	2	6	5	5	5	5	5	7	2	666	3	4
19	2	3	6	4	1	3	3	2	1	2	sys_empty	1	1	1	2	2	2	8	8	7	7	6	8	6	7	1	1	3
54	1	3	13	4	1	3	3	1	1	666	moc dlouho, jestli bych jí vùbec sehnal.	1	1	1	1	1	1	9	9	9	9	2	3	1	4	3	3	3
39	1	2	2	4	1	3	3	2	1	666	2 mìsíce	1	1	1	2	2	1	5	5	5	6	6	6	5	7	666	2	1
30	2	2	12	5	1	3	3	1	2	666	netuším	1	1	1	1	1	1	6	6	6	4	6	6	6	6	5	2	1
30	2	3	11	6	1	3	3	1	2	2	sys_empty	1	1	1	2	1	1	10	10	8	9	3	6	4	5	5	2	3
22	2	3	2	2	1	1	1	1	1	666	3-6 mìsícù	1	1	1	1	2	1	5	5	5	6	5	6	6	5	666	1	3
36	1	4	12	5	1	1	1	1	1	666	pùl roku	1	1	1	2	1	1	4	3	5	8	7	7	4	7	666	2	4
27	1	2	6	5	2	1	1	2	1	666	Dva mìsíce urèitì	1	1	1	1	1	1	9	8	9	9	7	7	8	7	666	1	1
37	2	3	10	5	1	3	3	1	1	666	Cca 2 mìsíce	1	1	1	2	1	1	2	2	2	2	2	2	2	2	5	2	3
38	2	3	11	6	1	2	2	1	1	666	tıden	1	1	1	2	1	1	10	5	5	7	10	10	10	10	666	2	3
43	1	2	11	5	1	3	3	2	2	2	sys_empty	1	1	1	1	1	1	5	4	4	5	5	5	4	4	3	2	1
65	1	3	11	6	2	3	3	1	2	2	sys_empty	2	2	2	2	2	2	5	5	6	6	3	7	7	1	3	 	3
57	1	2	2	5	1	3	3	1	1	666	zamìstnání nemám a ani vyhlídky, e by nìjaké v mém vìku bylo	1	2	1	2	1	1	3	3	3	5	7	6	8	8	4	3	1
40	1	3	1	6	2	1	1	1	1	666	6 mìsícù	1	1	1	2	2	1	8	6	7	10	5	3	7	3	666	2	3
50	1	3	14	6	2	1	1	2	1	666	nevim	1	1	1	1	1	1	9	9	6	8	7	9	9	9	666	3	3
39	2	2	5	4	1	1	2	1	1	666	Tyden	1	1	1	2	1	1	10	9	6	8	6	7	4	5	666	2	1
41	2	1	3	3	2	2	2	1	1	666	3 mìsíce	1	1	1	2	1	1	10	10	9	9	5	7	6	6	666	2	1
28	2	3	1	6	2	2	1	1	1	666	Jakoukoliv práci najdu tøeba do 1-2 mìsícù, ale takovou, o kterou bych stála, tak 6-10 mìsícù.	1	1	1	2	1	1	3	3	2	5	5	9	8	8	666	1	3
29	1	2	1	6	1	1	2	2	1	666	1 mìsíc	1	1	1	2	2	1	8	7	7	6	2	8	4	6	666	1	1
18	1	1	11	5	1	3	3	1	1	2	sys_empty	1	1	2	1	1	2	6	5	8	7	4	4	5	3	1	1	1
22	1	3	6	5	2	2	1	2	1	666	6 mìsícù	1	1	1	2	2	1	10	10	2	7	2	9	9	10	666	1	3
51	1	3	11	4	1	1	1	2	1	666	2-3mìsíce	1	1	1	2	2	2	6	6	6	7	4	5	3	5	666	3	3
22	1	3	12	5	2	2	2	1	2	666	otázka mìsícù	1	1	1	2	2	1	7	7	7	8	7	9	6	6	666	1	3
42	1	2	2	1	1	1	2	1	1	2	sys_empty	1	1	1	2	2	2	2	3	2	3	5	8	6	8	666	2	1
24	1	1	9	4	1	2	2	1	2	666	4mìsíce	1	1	1	1	2	1	6	5	5	3	5	6	5	6	666	1	1
22	1	3	6	4	2	2	2	1	1	666	pùl roku	1	1	1	2	1	1	7	6	3	7	4	3	2	6	1	1	3
29	1	2	14	6	1	2	3	2	2	666	1 mìsíc	1	1	1	2	2	1	5	5	4	6	4	6	7	6	7	1	1
23	1	2	9	5	2	2	1	2	1	666	asi mìsíc,a dva mìsíce,doufám,e bych rychle nìco našel	1	1	1	2	2	1	10	9	10	10	1	4	2	3	666	1	1
43	1	3	12	1	2	3	3	2	2	2	sys_empty	1	1	1	2	1	1	9	9	8	9	4	4	4	4	666	2	3
50	1	3	14	1	1	1	1	2	1	666	2 - 3 mìsíce	1	1	1	2	2	1	10	10	10	9	8	10	10	10	666	3	3
49	1	3	3	4	2	1	2	1	2	666	nevím	1	1	1	2	2	1	8	8	6	9	3	10	8	9	666	3	3
37	1	3	6	3	1	1	1	2	1	666	mìsíc	1	1	1	2	2	2	8	7	6	5	7	8	7	8	666	2	3
26	1	3	14	5	1	1	3	1	2	2	sys_empty	1	1	1	1	2	1	10	9	9	8	4	7	6	3	666	1	3
47	2	3	1	6	1	3	3	1	1	666	nyní jsem bez práce	1	1	1	2	1	1	5	5	6	6	7	8	3	5	4	3	3
36	2	3	5	5	1	1	2	1	1	666	mìsíc	1	1	1	2	1	1	10	10	8	8	4	7	4	5	5	2	3
30	1	3	6	5	1	2	1	2	1	666	pùl roku	1	1	1	2	2	2	8	6	5	7	5	7	4	7	666	2	3
23	2	3	1	6	2	2	1	1	1	666	do 3 mìsícú	1	1	1	2	1	1	5	3	7	2	7	3	9	6	1	1	3
33	2	3	1	6	1	1	1	1	1	666	1 rok i déle	1	2	1	2	1	1	1	1	3	2	10	10	10	10	666	2	3
33	2	3	1	6	1	1	2	1	2	666	3 mìsíce	1	1	1	2	2	1	10	10	8	8	5	7	5	5	5	2	3
41	1	2	14	4	1	2	2	2	2	2	sys_empty	1	1	1	2	2	1	10	10	8	8	3	5	3	4	666	2	1
38	1	2	7	3	1	1	1	1	1	666	1 rok	1	1	1	2	2	2	10	9	8	8	9	9	10	10	666	2	1
31	1	2	7	3	2	2	2	1	1	666	nevím dlouho u jsem nehledal	1	1	1	2	2	2	5	6	4	8	9	10	4	9	666	2	1
45	1	2	9	3	1	1	3	2	1	666	chvilku	1	1	1	1	2	2	10	10	9	10	9	10	10	10	666	3	1
58	1	3	1	6	1	1	2	2	1	666	Vzhledem k vìku dlouho, délku nedokáu odhadnout.	1	1	1	2	2	1	10	10	10	10	3	3	3	3	666	3	3
51	1	4	7	1	1	1	1	1	1	666	nìkolik let	1	1	1	2	1	1	5	5	5	9	2	4	8	2	666	3	4
29	2	3	7	3	2	1	1	1	1	666	v dnesni dome cca 6-12 mesicu	1	1	1	1	2	2	5	5	5	5	5	5	5	5	5	1	3
50	1	3	2	5	1	3	3	1	1	666	nevím	1	1	1	2	2	2	9	6	9	9	4	8	4	2	8	3	3
20	1	3	6	4	1	3	3	2	2	666	Myslím tak do dvou mìsícù.	1	1	1	1	1	1	10	10	10	10	4	4	4	4	1	1	3
52	1	3	2	2	1	1	3	2	2	2	sys_empty	1	1	1	2	1	1	8	8	7	9	8	8	7	8	666	3	3
15	2	1	4	6	2	3	3	2	2	2	sys_empty	1	1	1	1	2	1	10	5	7	8	4	3	4	2	1	1	1
24	2	4	9	5	1	2	2	2	1	666	nìkolik mìsícù	1	1	1	1	2	1	9	9	7	8	4	6	2	5	1	1	4
29	2	1	2	3	2	2	2	1	2	666	mesic	1	1	1	2	1	1	6	6	6	4	5	5	4	4	5	1	1
34	2	3	11	2	1	1	1	1	1	666	NEMÁM PONÌTÍ, DOBROU PRÁCI DÉLE, ZÁLEÍ NA ŠTÌSTÍ	1	1	1	1	1	1	8	8	8	8	4	4	4	4	666	2	3
35	2	2	9	4	1	1	1	2	1	666	pùl roku	1	1	1	2	2	2	8	7	8	8	6	8	6	6	666	2	1
18	2	3	2	4	2	3	3	2	1	2	sys_empty	1	1	1	1	1	1	8	8	8	9	6	7	7	7	1	1	3
18	2	1	14	6	2	1	1	1	2	666	2 mìsíce	1	1	1	1	2	1	10	8	7	10	7	7	9	8	1	1	1
21	2	1	2	4	2	3	3	2	1	2	sys_empty	1	1	1	2	1	1	10	6	3	9	7	10	7	10	1	1	1
25	2	1	14	6	1	2	1	1	1	666	nevím	1	1	1	2	2	1	5	3	3	2	3	2	5	5	4	1	1
18	2	1	14	4	1	3	3	2	1	2	sys_empty	1	1	1	1	2	2	8	8	4	8	5	4	5	6	1	1	1
41	1	2	7	5	2	1	2	1	1	666	2 mìsíce	1	1	1	2	2	1	8	8	8	9	2	7	4	7	666	2	1
18	2	1	14	6	1	1	1	1	1	666	Dlouho	1	1	1	2	1	1	10	8	8	10	8	8	8	8	1	1	1
19	2	2	3	4	1	3	3	2	1	666	nevim	2	1	1	1	1	1	9	6	6	10	10	8	3	10	4	1	1
27	2	3	14	5	1	1	1	1	1	666	no momentální situace v mém kraji není zrovna naklonìna tomu rychle si najít práci	1	1	1	2	1	1	5	5	5	5	7	7	4	5	666	1	3
19	2	3	8	4	2	1	1	2	1	666	3 mìsíce	1	1	1	1	2	1	9	9	7	6	3	6	4	4	1	1	3
36	2	2	11	1	2	1	1	1	1	666	Nemám zdání v našem regionu je bohoel málo pracovních míst.	1	1	1	2	2	1	7	6	1	7	7	10	7	9	5	2	1
36	2	2	8	3	2	1	1	2	1	666	celí rok	1	1	1	2	2	1	3	10	2	5	8	7	10	6	9	2	1
26	2	1	11	3	2	3	3	1	2	666	moc dlouho ne mam heslo kdo chce tak si praci vzdycky najde	1	1	1	2	2	1	6	3	5	8	4	6	5	7	5	1	1
29	2	1	14	5	2	3	3	1	1	666	1 mìsíc	2	1	1	2	1	1	5	3	3	8	7	8	6	9	5	1	1
19	2	1	1	6	1	1	1	1	2	666	2mìsíce	1	1	1	2	2	2	10	9	8	9	6	7	7	6	1	1	1
19	2	3	14	3	1	3	3	1	1	2	sys_empty	1	1	1	1	2	1	6	5	3	6	6	8	7	9	1	1	3
19	2	1	8	5	1	2	2	1	1	666	7mìsícu	1	1	1	2	1	1	10	10	10	10	3	5	2	5	1	1	1
19	1	3	3	5	2	3	3	2	2	2	sys_empty	1	2	1	1	1	1	8	8	6	8	3	7	2	4	1	1	3
33	2	1	4	3	1	3	3	1	1	666	mìsíc a dva	1	1	1	2	1	1	8	7	8	5	7	7	8	1	5	2	1
