p_sex	p_age	p_size	p_edu	p_nuts3	p_income	p_house_income	s1	s2_1	s2_2	s2_3	s2_4	s2_5	s3_1	s3_2	s3_3	s3_4	s3_5	s3_6	s3_7	s3_8	s3_9	s3_10	s3_11	s3_12	s4_1	s4_2	s4_3	s4_4	s5	s6	s6_code1	s6_code2	s6_code3	s7_1	s7_2	s7_2_code1	s7_2_code2	s7_2_code3	s8_1	s8_2	s8_2_code1	s8_2_code2	s8_2_code3	s10	s10_O_T_H	s11_1	s11_2	s11_3	s11_4	s9_1	s9_1_code1	s9_1_code2	s9_1_code3	s9_1_code4	s9_2	s9_2_code1	s9_2_code2	s9_2_code3
2	34	3	4	10	3	6	1	2	60	35	3	100	3	3	3	3	2	2	3	1	4	-9	 	 	4	1	2	3	2	chci bıt v obraze a nestíhám televizní zpravodajství v tv	2	 	 	mf dnes	dùvìryhodné	3	 	 	idnes.cz	je tam skoro vše co mì zajímá	4	 	 	2	sys_empty	1	2	0	0	spíše v práci o svaèinì	6	 	 	 	chci bıt v obraze a na internetu je to kdykoliv k dispozici	9	8	 
2	19	2	1	2	88	88	1	0	75	25	0	100	2	3	2	3	2	2	4	2	4	-9	 	 	4	2	1	5	2	Je to pro mì nejdostupnìjší forma a chci bıt alespoò nìjak informována o tom, co se dìje.	3	2	 	MF Dnes	jsem na nì zvyklá, jiné nekupujeme	4	 	 	idnes.cz	pøehlednost	2	 	 	2	sys_empty	4	2	0	0	Je nìkdo koupí	2	 	 	 	Je mohu èíst na mobilu a protoe mì zajímá, co se dìje	3	5	 
2	20	6	3	1	1	4	1	10	30	30	30	100	1	1	2	4	1	3	3	1	3	0	 	 	4	3	3	3	2	lze je proèítat kdykoliv mám èas na rozdíl od televizního zpravodajství	3	 	 	Hospodáøské noviny	poskytují vìrohodné informace	3	 	 	idnes.cz	vyhovuje mi	8	 	 	2	sys_empty	2	4	0	0	e je nìkdo v domácnosti koupí	2	 	 	 	kdy mám volnou chvíli a po ruce pc	4	3	 
1	33	3	3	7	5	7	1	0	70	15	15	100	4	2	1	4	1	2	4	1	1	19	12	15	5	1	2	2	2	Nejrychlejší zpùsob pøedávání informací dostupnı témìø kdykoliv a kdekoliv	1	3	 	sys_filtered_off	sys_filtered_off	-9	 	 	idnes.cz	pøehledná aplikace v mob. telefonu, dùvìryhodnı	6	5	 	2	sys_empty	4	1	3	2	sys_filtered_off	-9	 	 	 	ètu pouze internetové servery	80	 	 
1	23	5	3	6	1	4	1	10	75	15	0	100	3	3	3	2	2	3	3	2	2	15	 	 	3	1	1	4	2	Je to vdy snadno dostupné, díky chytrım mobilním telefonùm.	3	 	 	Metro	Zdarma	8	 	 	idnes.cz	pøehlednì z domova i ze svìta	2	4	 	2	sys_empty	1	4	2	3	doma, popø na cestách, kdy je dostanu pøed nádraím	6	1	2	 	na cestách, protoe je mám stále u sebe v mobilu	80	 	 
2	18	6	1	11	88	99	1	0	100	0	0	100	2	2	1	3	2	3	4	2	4	0	 	 	4	3	4	5	5	sys_filtered_off	-9	 	 	Mladá fronta Dnes	Máme je ve škole zadarmo ;)	7	 	 	idnes.cz	Nejpøehlednìjší.	2	 	 	2	sys_empty	2	0	0	0	Kdy mám tu monost, tak si radìji pøeètu tištìné noviny. Je to po oèi pøíjemnìjší.	2	 	 	 	Vìtší mnoství informací.	9	 	 
1	39	6	3	1	6	7	1	20	60	20	0	100	2	1	2	1	2	3	3	2	2	15	 	 	2	1	3	4	2	kdykoli dostupné na mobilu - vím co se aktuálnì dìje	3	1	 	MF DNES	mnohaletı zvyk, kvalita	4	 	 	idnes.cz	kvalita	5	 	 	2	sys_empty	1	4	2	0	cestou do a ze zamìstnání	1	 	 	 	stále on-line, èerstvé informace v prùbìhu dne	8	 	 
1	40	1	3	11	5	4	1	0	50	30	20	100	2	2	3	4	2	2	4	1	2	80	 	 	4	1	1	2	2	aktuálnost	1	 	 	Dnes	odpovídají mé pøedstavì novin	4	 	 	idnes.cz	vyhovuje mi	8	 	 	2	sys_empty	2	4	0	0	e mám dost èasu	3	 	 	 	prùbìnì	8	 	 
1	40	4	3	4	4	6	1	10	80	0	10	100	2	2	3	1	2	2	3	2	4	-9	 	 	4	1	4	1	2	je nejaktuálnìjší	1	 	 	Plzeòskı deník	jsou o Plzni	2	 	 	idnes.cz	nevím	99	 	 	2	sys_empty	1	4	0	0	e jsou zdarma v restauraci	8	 	 	 	jsou aktuální	8	 	 
2	34	6	4	1	6	10	1	0	45	45	10	100	2	1	2	4	2	2	4	1	4	-9	 	 	5	1	1	2	2	informace jsou aktualizované v reálném èase a je k nim pøístup kdykoli a odkudkoli	1	3	 	sys_filtered_off	sys_filtered_off	-9	 	 	idnes.cz	univerzální zpravodajství	4	 	 	2	sys_empty	4	2	0	0	sys_filtered_off	-9	 	 	 	jsou aktuální a kdykoli dostupné	8	 	 
1	40	6	2	14	4	7	1	0	40	60	0	100	4	1	4	4	2	4	4	1	3	19	18	 	5	1	1	5	3	Pøíjem hlavnì vizuálních informací, textová zpráva vìtšinou postrádá vizuální vyjádøení zprávy	8	 	 	sys_filtered_off	sys_filtered_off	-9	 	 	idnes.cz	pøehlednost rubrik	2	 	 	2	sys_empty	1	4	0	0	sys_filtered_off	-9	 	 	 	jsou dostupnìjší	8	 	 
2	22	1	3	10	1	5	1	10	60	30	0	100	2	2	1	3	1	2	3	2	4	-9	 	 	2	3	4	1	2	na pc sem kazdy den	5	 	 	ekonom	jsou zde zajimave a aktualni zpravy	2	1	 	idnes.cz	aktualni zpravy	1	 	 	2	sys_empty	2	0	0	0	nudim se	3	 	 	 	zajima me to	5	 	 
1	34	2	4	14	7	7	1	0	85	5	10	100	3	2	3	1	3	4	4	3	4	-9	 	 	5	1	4	1	2	prectu si to, kdyz mam na to cas	3	 	 	sys_filtered_off	sys_filtered_off	-9	 	 	idnes.cz	ze zvyku	3	 	 	2	sys_empty	2	4	0	0	sys_filtered_off	-9	 	 	 	si vyberu to, co me zajima	5	 	 
